type,description,rate,hsn
goods,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared but not cut to shape; powder and waste of these products.",5,0507[Except 050790]
goods,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.",5,508
goods,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",5,510
goods,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption, other than semen including frozen semen.",5,511
goods,"Herb, bark, dry plant, dry root, commonly known as jaribooti and dry flower",5,7
goods,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen",5,710
goods,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",5,711
goods,"Dried leguminous vegetables, shelled, whether or not skinned or split [put up in unit container and bearing a registered brand name]",5,713
goods,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen or dried, whether or not sliced or in the form of pellets",5,714
goods,"Cashew nuts, whether or not shelled or peeled",5,801
goods,"Dried areca nuts, whether or not shelled or peeled",5,802
goods,"Dried chestnuts (singhada), whether or not shelled or peeled",5,802
goods,"Dried makhana, whether or not shelled or peeled",5,8
goods,"Grapes, dried, and raisins",5,806
goods,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",5,811
goods,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",5,812
goods,"Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",5,814
goods,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion [other than coffee beans not roasted]",5,901
goods,"Tea, whether or not flavoured [other than unprocessed green leaves of tea]",5,902
goods,Maté,5,903
goods,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta,5,904
goods,Vanilla,5,905
goods,Cinnamon and cinnamon-tree flowers,5,906
goods,"Cloves (whole fruit, cloves and stems)",5,907
goods,"Nutmeg, mace and cardamoms",5,908
goods,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries [other than of seed quality]",5,909
goods,"Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",5,"0910 [other than 0910 11 10, 0910 30 10]"
goods,"All goods i.e. cereals, put up in unit container and bearing a registered brand name",5,10
goods,Wheat and meslin put up in unit container and bearing a registered brand name,5,1001
goods,Rye put up in unit container and bearing a registered brand name,5,1002
goods,Barley put up in unit container and bearing a registered brand name,5,1003
goods,Oats put up in unit container and bearing a registered brand name,5,1004
goods,Maize (corn) put up in unit container and bearing a registered brand name,5,1005
goods,Rice put up in unit container and bearing a registered brand name,5,1006
goods,Grain sorghum put up in unit container and bearing a registered brand name,5,1007
goods,"Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi] put up in unit container and bearing a registered brand name",5,1008
goods,Wheat or meslin flour put up in unit container and bearing a registered brand name.,5,1101
goods,"Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc. put up in unit container and bearing a registered brand name",5,1102
goods,"Cereal groats, meal and pellets, including suji and dalia, put up in unit container and bearing a registered brand name",5,1103
goods,"Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground [other than hulled cereal grains]",5,1104
goods,"Meal, powder, flakes, granules and pellets of potatoes put up in unit container and bearing a registered brand name",5,1105
goods,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal 1106 10 10 and guar gum refined split 1106 10 90], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8, put up in unit container and bearing a registered brand name",5,1106
goods,Guar meal,5,1106 10 10
goods,Guar gum refined split,5,1106 10 90
goods,"Wheat gluten, whether or not dried",5,1109 00 00
goods,All goods other than of seed quality,5,12
goods,"Soya beans, whether or not broken other than of seed quality.",5,1201
goods,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken other than of seed quality.",5,1202
goods,Copra other than of seed quality,5,1203
goods,"Linseed, whether or not broken other than of seed quality.",5,1204
goods,"Rape or colza seeds, whether or not broken other than of seed quality.",5,1205
goods,"Sunflower seeds, whether or not broken other than of seed quality",5,1206
goods,"Other oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamustinctorius) seeds, Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken, other than of seed quality",5,1207
goods,"Flour and meals of oil seeds or oleaginous fruits, other than those of mustard",5,1208
goods,"Hop cones, dried, whether or not ground, powdered or in the form of pellets; lupulin",5,1210
goods,"Plants and parts of plants (including  seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried, whether or not cut, crushed or powdered",5,1211
goods,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichoriumintybussativum) of a kind used primarily for human consumption, not elsewhere specified or included",5,1212
goods,"Natural gums, resins, gum-resins and oleoresins (for example, balsams) [other than lac and shellac]",5,1301
goods,Compounded asafoetida commonly known as heeng,5,1301
goods,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)",5,1401
goods,"Vegetable products not elsewhere specified or included such as cotton linters, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving, coconut shell, unworked, Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha]",5,"1404 [other than 1404 90 10, 1404 90 40, 1404 90 50]"
goods,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified",5,1507
goods,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",5,1508
goods,"Olive oil and its fractions, whether or not refined, but not chemically modified.",5,1509
goods,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509",5,1510
goods,"Palm oil and its fractions, whether or not refined, but not chemically modified.",5,1511
goods,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",5,1512
goods,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",5,1513
goods,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",5,1514
goods,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",5,1515
goods,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",5,1516
goods,"Edible mixtures or preparations of  vegetable fats or vegetable oils or of fractions of different vegetable fats or vegetable oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",5,1517
goods,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516",5,1518
goods,"Beet sugar, cane sugar, khandsari sugar",5,1701
goods,Palmyra sugar,5,1702
goods,"Cocoa beans whole or broken, raw or roasted",5,1801
goods,"Cocoa shells, husks, skins and other cocoa waste",5,1802
goods,Cocoa paste whether or not de-fatted,5,1803
goods,"Mixes and doughs for the preparation of bread, pastry and other baker's wares",5,1901 20 00
goods,Seviyan (vermicelli),5,1902
goods,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms. (sabudana)",5,1903
goods,Pizza bread,5,1905
goods,"Rusks, toasted bread and similar toasted products",5,1905 40 00
goods,Sweetmeats,5,2106 90
goods,Ice and snow,5,2201 90 10
goods,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves",5,2301
goods,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",5,2303
goods,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil [other than aquatic feed including shrimp feed and prawn feed, poultry feed & cattle feed, including grass, hay & straw, supplement & husk of pulses, concentrates & additives, wheat bran & de-oiled cake]",5,2304
goods,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil[other than aquatic feed including shrimp feed and prawn feed, poultry feed & cattle feed, including grass, hay & straw, supplement & husk of pulses, concentrates & additives, wheat bran & de-oiled cake]",5,2305
goods,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils, other than those of heading 2304 or 2305[other than aquatic feed including shrimp feed and prawn feed, poultry feed & cattle feed, including grass, hay & straw, supplement & husk of pulses, concentrates & additives, wheat bran & de-oiled cake]",5,2306
goods,Wine lees; argol,5,2307
goods,Tobacco leaves,5,2401
goods,Unroasted iron pyrites.,5,2502
goods,"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur [other than sulphur recovered as by-product in refining of crude oil]",5,2503[except 2503 00 10]
goods,Natural graphite.,5,2504
goods,"Natural sands of all kinds, whether or not coloured, other than metal bearing sands of Chapter 26.",5,2505
goods,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",5,2506
goods,"Kaolin and other kaolinic clays, whether or not calcined.",5,2507
goods,"Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.",5,2508
goods,Chalk.,5,2509
goods,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",5,2510
goods,"Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816.",5,2511
goods,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",5,2512
goods,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated.",5,2513
goods,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",5,2514
goods,Ecaussine and other calcareous monumental or building stone; alabaster [other than marble and travertine],5,"2515 [Except 2515 12 10, 2515 12 20, 2515 12 90]"
goods,"Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",5,"2516 [Except 2516 11 00, 2516 12 00]"
goods,Granite crude or roughly trimmed,5,2516 11 00
goods,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; grenules cheeping and powder of stones heading 2515 or 2516 whether or not heat treated.",5,2517
goods,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; dolomite ramming mix. 2518 10 dolomite, Not calcined or sintered",5,2518
goods,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure.",5,2519
goods,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders.",5,2520
goods,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement.",5,2521
goods,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 2825.",5,2522
goods,Asbestos,5,2524
goods,"Mica, including splitting; mica waste.",5,2525
goods,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.",5,2526
goods,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of H3BO3",5,2528
goods,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar.",5,2529
goods,Mineral substances not elsewhere specified or included.,5,2530
goods,"All ores and concentrates [other than slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel; slag, ash and residues (other than from the manufacture of iron or steel) containing metals, arsenic or their compounds; other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste]",5,"26 [other than 2619, 2620, 2621]"
goods,"Iron ores and concentrates, including roasted iron pyrites",5,2601
goods,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight.",5,2602
goods,Copper ores and concentrates.,5,2603
goods,Nickel ores and concentrates.,5,2604
goods,Cobalt ores and concentrates.,5,2605
goods,Aluminium ores and concentrates.,5,2606
goods,Lead ores and concentrates.,5,2607
goods,Zinc ores and concentrates.,5,2608
goods,Tin ores and concentrates.,5,2609
goods,Chromium ores and concentrates.,5,2610
goods,Tungsten ores and concentrates.,5,2611
goods,Uranium or thorium ores and concentrates.,5,2612
goods,Molybdenum ores and concentrates.,5,2613
goods,Titanium ores and concentrates.,5,2614
goods,"Niobium, tantalum, vanadium or zirconium ores and concentrates.",5,2615
goods,Precious metal ores and concentrates.,5,2616
goods,Other ores and concentrates,5,2617
goods,Granulated slag (slag sand) from the manufacture of iron or steel,5,2618
goods,Bio-gas,5,27
goods,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",5,2701
goods,"Lignite, whether or not agglomerated, excluding jet",5,2702
goods,"Peat (including peat litter), whether or not agglomerated",5,2703
goods,"Coke and semi coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",5,2704
goods,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",5,2705
goods,"Tar distilled from coal, from lignite or from peat",5,2706
goods,Kerosene PDS,5,2710
goods,"Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers or to non-domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited.",5,"2711 12 00, 2711 13 00, 2710 19 00"
goods,Thorium oxalate,5,28
goods,Enriched KBF4 (enriched potassium fluroborate),5,28
goods,Enriched elemental boron,5,28
goods,Nuclear fuel,5,28
goods,Nuclear grade sodium,5,2805 11
goods,Heavy water and other nuclear fuels,5,2845
goods,Compressed air,5,2853
goods,Insulin,5,30
goods,Animal or Human Blood Vaccines,5,"3002, 3006"
goods,Diagnostic kits for detection of all types of hepatitis,5,30
goods,Desferrioxamine injection or deferiprone,5,30
goods,Cyclosporin,5,30
goods,Medicaments (including veterinary medicaments) used in bio-chemic systems and not bearing a brand name,5,30
goods,Oral re-hydration salts,5,30
goods,"Drugs or medicines including their salts and esters and diagnostic test kits, specified in List 1 appended to this Schedule",5,30
goods,Formulations manufactured from the bulk drugs specified in List 2 appended to this Schedule,5,30
goods,All goods i.e. animal or vegetable fertilisersor organic fertilisers put up in unit containers and bearing a brand name,5,3101
goods,"Wattle extract, quebracho extract, chestnut extract",5,32
goods,Enzymatic preparations for pre-tanning,5,3202
goods,Agarbatti,5,3307 41 00
goods,"Sulphonated castor oil, fish oil or sperm oil",5,3402
goods,"(i)        Handmade safety matches Explanation.– For the purposes of this entry, handmade matches mean matches, in or in relation to the manufacture of which, none of the following processes is ordinarily carried on with the aid of power, namely: - frame filling;  dipping of splints in the composition for match heads; filling of boxes with matches; pasting of labels on match boxes, veneers or cardboards;  packaging",5,3605 00 10
goods,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip",5,4001
goods,Toy balloons made of natural rubber latex,5,4016
goods,"Pneumatic tyres or inner tubes, of rubber, of a kind used on / in bicycles, cycle -rickshaws and three wheeled powered cycle rickshaws",5,"4011, 4013"
goods,Erasers,5,4016
goods,"Raw hides and skins of bovine (including buffalo) or equine animals (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",5,4101
goods,"Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not with wool on or split",5,4102
goods,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",5,4103
goods,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",5,4104
goods,"Tanned or crust skins of sheep or lambs, without wool on, whether or not split, but not further prepared",5,4105
goods,"Tanned or crust hides and skins of other animals, without wool or hair on, whether or not split, but not further prepared",5,4106
goods,"Wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",5,4401
goods,"Newsprint, in rolls or sheets",5,4801
goods,Kites,5,4823
goods,"Brochures, leaflets and similar printed matter, whether or not in single sheets",5,4901
goods,Silk yarn,5,5004 to 5006
goods,Woven fabrics of silk or of silk waste,5,5007
goods,"Garneted stock of wool or of fine or coarse animal hair, shoddy wool",5,5104
goods,"Wool and fine or coarse animal hair, carded or combed",5,5105
goods,Yarn of wool or of animal hair,5,5106 to 5110
goods,Woven fabrics of wool or of animal hair,5,5111 to 5113
goods,Cotton and Cotton waste,5,5201 to 5203
goods,"Cotton sewing thread, whether or not put up for retail sale",5,5204
goods,Cotton yarn [other than khadi yarn],5,5205 to 5207
goods,Woven fabrics of cotton,5,5208 to 5212
goods,"All goods i.e. flax, raw or processed but not spun; flax tow and waste (including yarn waste and garneted stock)",5,5301
goods,"True hemp (Cannabis sativa L), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garneted stock)",5,5302
goods,"All goods i.e. textile bast fibres [other than jute fibres, raw or processed but not spun]; tow and waste of these fibres (including yarn waste and garneted stock)",5,5303
goods,"All goods [other than coconut coir fibre] including yarn of flax, jute, other textile bast fibres, other vegetable textile fibres; paper yarn",5,5305 to 5308
goods,"Woven fabrics of other vegetable textile fibres, paper yarn",5,5309 to 5311
goods,Woven fabrics of manmade textile materials,5,"5407, 5408"
goods,Woven fabrics of manmade staple fibres,5,5512 to 5516
goods,"Coir mats, matting and floor covering",5,5705
goods,"Embroidery or zari articles, that is to say,- imi, zari, kasab, saima, dabka, chumki, gotasitara, naqsi, kora, glass beads, badla, glzal",5,"5809, 5810"
goods,Knitted or crocheted fabrics [All goods],5,60
goods,"Articles of apparel and clothing accessories, knitted or crocheted, of sale value not exceeding Rs. 1000 per piece",5,61
goods,"Articles of apparel and clothing accessories, not knitted or crocheted, of sale value not exceeding Rs. 1000 per piece",5,62
goods,"Other made up textile articles, sets, worn clothing and worn textile articles and rags, of sale value not exceeding Rs. 1000 per piece",5,63
goods,"Footwear having a retail sale price not exceeding Rs.500 per pair, provided that such retail sale price is indelibly marked or embossed on the footwear itself.",5,64
goods,Bricks of fossil meals or similar siliceous earths,5,6901 00 10
goods,Building bricks,5,6904 10 00
goods,Earthen or roofing tiles,5,6905 10 00
goods,Glass beads.,5,7018
goods,Pawan Chakki that is Air Based Atta Chakki,5,84
goods,Hand pumps and parts thereof,5,"8413, 8413 91"
goods,Solar water heater and system,5,8419 19
goods,"Machines for cleaning, sorting or grading, seed, grain or dried leguminous vegetables; machinery used in milling industry or for the working of cereals or dried leguminous vegetables other than farm type machinery and parts thereof",5,8437
goods,"(a)    Following renewable energy devices & parts for their manufacture Bio-gas plant Solar power based devices Solar power generating system Wind mills, Wind Operated Electricity Generator (WOEG) Waste to energy plants / devices Solar lantern / solar lamp Ocean waves/tidal waves energy devices/plants",5,84 or 85
goods,Rail locomotives powered from an external source of electricity or by electric accumulators,5,8601
goods,"Other rail locomotives; locomotive tenders; such as Diesel-electric locomotives, Steam locomotives and tenders thereof",5,8602
goods,"Self-propelled railway or tramway coaches, vans and trucks, other than those of heading 8604",5,8603
goods,"Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles)",5,8604
goods,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading 8604)",5,8605
goods,"Railway or tramway goods vans and wagons, not self-propelled",5,8606
goods,"Parts of railway or tramway locomotives or rolling-stock; such as Bogies, bissel-bogies, axles and wheels, and parts thereof",5,8607
goods,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts of the foregoing",5,8608
goods,"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled",5,8713
goods,"Other aircraft (for example, helicopters, aeroplanes), other than those for personal use.",5,8802
goods,Parts of goods of heading 8802,5,8803
goods,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods",5,8901
goods,Fishing vessels; factory ships and other vessels for processing or preserving fishery products,5,8902
goods,Tugs and pusher craft,5,8904
goods,"Light-vessels, fire-floats, dredgers, floating cranes and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms",5,8905
goods,"Other vessels, including warships and lifeboats other than rowing boats",5,8906
goods,"Other floating structures (for example, rafts, tanks, coffer-dams, landing-stages, buoys and beacons)",5,8907
goods,"Parts of goods of headings 8901, 8902, 8904, 8905, 8906, 8907",5,Any chapter
goods,Coronary stents and coronary stent systems for use with cardiac catheters,5,90
goods,Artificial kidney,5,90 or any other Chapter
goods,Disposable sterilized dialyzer or micro barrier of artificial kidney,5,90 or 84
goods,"(i)                 Parts of the following goods, namely:-  Crutches;  Wheel chairs;  Walking frames;  Tricycles;  Braillers; and  Artificial limbs",5,90 or any other Chapter
goods,"Assistive devices, rehabilitation aids and other goods for disabled, specified in List 3 appended to this Schedule",5,90 or any other Chapter
goods,Kerosene pressure lantern,5,9405 50 31
goods,Parts of kerosene pressure lanterns including gas mantles,5,"9405 91 00, 9405 92 00 or 9405 99 00"
goods,Broomsticks,5,9603 10 00
goods,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper), and the like, used or unused, other than those of heading 4907",5,9704
goods,Numismatic coins,5,9705
goods,"Drugs or medicines including their salts and esters and diagnostic test kits specified at S.No.180 above and Formulations specified at S.No.181 above, intended for personal use.",5,9804
goods,Live horses,12,"01012100, 010129"
goods,"Meat of bovine animals, frozen and put up in unit containers",12,202
goods,"Meat of swine, frozen and put up in unit containers",12,203
goods,"Meat of sheep or goats, frozen and put up in unit containers",12,204
goods,"Meat of horses, asses, mules or hinnies, frozen and put up in unit containers",12,205
goods,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, frozen and put up in unit containers",12,206
goods,"Meat and edible offal, of the poultry of heading 0105, frozen and put up in unit containers",12,207
goods,"Other meat and edible meat offal, frozen and put up in unit containers",12,208
goods,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, frozen and put up in unit containers",12,209
goods,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, salted, in brine, dried or smoked, put up in unit containers",12,209
goods,"Meat and edible meat offal, salted, in brine, dried or smoked put up in unit containers; edible flours and meals of meat or meat offal put up in unit containers",12,210
goods,"Butter and other fats (i.e. ghee, butter oil, etc.) and oils derived from milk; dairy spreads",12,405
goods,Cheese,12,406
goods,"Brazil nuts, dried, whether or not shelled or peeled",12,801
goods,"Other nuts, dried, whether or not shelled or peeled, such as Almonds, Hazelnuts or filberts (Coryius spp.), walnuts, Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.) [other than dried areca nuts]",12,802
goods,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, dried",12,804
goods,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8",12,813
goods,Starches; inulin,12,1108
goods,"Pig fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12,1501
goods,"Fats of bovine animals, sheep or goats, other than those of heading 1503",12,1502
goods,"Lard stearin, lard oil, oleo stearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared",12,1503
goods,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified",12,1504
goods,Wool grease and fatty substances derived therefrom (including lanolin),12,1505
goods,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified",12,1506
goods,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",12,1516
goods,"Edible mixtures or preparations of  animal fats or animal oils or of fractions of different animal fats or animal oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",12,1517
goods,"Animal fats and animal oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, not elsewhere specified of included",12,1518
goods,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",12,1601
goods,"Other prepared or preserved meat, meat offal or blood",12,1602
goods,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",12,1603
goods,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,12,1604
goods,"Crustaceans, molluscs and other aquatic invertebrates prepared or preserved",12,1605
